Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Grenada,GRD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Guam,GUM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Guatemala,GTM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3171.87520562235,3217.09294890167,3268.91510052785,3355.7899530043,..
Guinea,GIN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,799.841105479181,864.636978278458,842.369143426045,863.38902662764,..
Guinea-Bissau,GNB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,611.880063055143,615.970967246461,621.100519900994,637.32408342724,..
Guyana,GUY,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3743.5011515322,3764.05382367524,3890.3632929089,..,..
Haiti,HTI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,734.522313299779,734.208241419137,734.685091211389,706.86269952467,..
Honduras,HND,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1961.47056082734,2039.94386886956,2047.54081951709,2073.83605881975,..
"Hong Kong SAR, China",HKG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,37752.7630585933,39587.2897309726,40559.9760431071,39926.4472867898,..
Hungary,HUN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14733.1521315052,15183.7084748234,15985.1158211418,..,..
Iceland,ISL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
India,IND,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1837.82484306343,1965.28639025104,2064.22285535122,2145.85390373811,..
Indonesia,IDN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3845.92474223073,3993.70671044376,4164.34209960423,4321.7345197008,..
"Iran, Islamic Rep.",IRN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6807.60355817248,6959.2287770282,..,..,..
Iraq,IRQ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Ireland,IRL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,54055.0127590518,56462.4782309594,59847.4501846806,..,..
Isle of Man,IMN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Israel,ISR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,33389.1465367499,33871.5561248997,34745.0195229909,..,..
Italy,ITA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,34558.5407673224,35278.8233506605,35819.3155148726,35919.6486549367,..
Jamaica,JAM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4558.9842747866,4641.40712625886,4632.18473350578,..,..
Japan,JPN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,49010.0811135,50240.5429454715,50535.342062034,..,..
Jordan,JOR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3246.45237096473,3246.75461441479,3251.83552531042,..,..
