Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
South Africa,ZAF,GNI (current US$),NY.GNP.MKTP.CD,288167015664.092,339070750925.794,356648758113.632,341523075219.401,..
South Sudan,SSD,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Spain,ESP,GNI (current US$),NY.GNP.MKTP.CD,1235120146859.29,1312247821718.83,1422925003135.69,1396929550211.76,..
Sri Lanka,LKA,GNI (current US$),NY.GNP.MKTP.CD,80205348611.8104,85113502188.3101,86027826995.2464,81590532941.6392,..
St. Kitts and Nevis,KNA,GNI (current US$),NY.GNP.MKTP.CD,912501740.740741,947044185.185185,954786814.814815,992527703.703704,..
St. Lucia,LCA,GNI (current US$),NY.GNP.MKTP.CD,1750079925.92593,1891270111.11111,1941953407.40741,1997159259.25926,..
St. Martin (French part),MAF,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
St. Vincent and the Grenadines,VCT,GNI (current US$),NY.GNP.MKTP.CD,769190037.037037,786548851.851852,803115148.148148,818793124.648481,..
Sudan,SDN,GNI (current US$),NY.GNP.MKTP.CD,50905732137.2501,43727817863.2913,24192654488.3045,18285707015.6843,..
Suriname,SUR,GNI (current US$),NY.GNP.MKTP.CD,2962593841.31266,2816036473.1493,3070610358.45896,3562110740.14481,..
Sweden,SWE,GNI (current US$),NY.GNP.MKTP.CD,518717393441.362,549761669025.493,565750201658.093,544935475438.412,..
Switzerland,CHE,GNI (current US$),NY.GNP.MKTP.CD,674973858370.401,687536802469.313,713007267898.746,716956555326.839,..
Syrian Arab Republic,SYR,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Tajikistan,TJK,GNI (current US$),NY.GNP.MKTP.CD,8117102033.0028,8373203223.50492,8748615635.10797,9447139511.45807,..
Tanzania,TZA,GNI (current US$),NY.GNP.MKTP.CD,48664287045.7575,52106608384.1336,56210529470.5679,61577915479.7476,..
Thailand,THA,GNI (current US$),NY.GNP.MKTP.CD,394012732176.653,435851124638.33,482005837165.972,523597540550.638,..
Timor-Leste,TLS,GNI (current US$),NY.GNP.MKTP.CD,2236032194.44991,2282434961.16916,2248579335.82853,2432020380,..
Togo,TGO,GNI (current US$),NY.GNP.MKTP.CD,4530584489.92045,4824944320.37722,5375788667.31539,5480673372.23571,..
Tonga,TON,GNI (current US$),NY.GNP.MKTP.CD,403646194.083694,436948699.389278,457179414.714195,..,..
Trinidad and Tobago,TTO,GNI (current US$),NY.GNP.MKTP.CD,21856562483.1309,22521849192.4183,23138759895.4333,23823584990.3025,..
Tunisia,TUN,GNI (current US$),NY.GNP.MKTP.CD,40574627560.5214,38538604612.7139,38421360837.2058,37390778353.3261,..
Turkey,TUR,GNI (current US$),NY.GNP.MKTP.CD,854541542432.37,841584680463.803,759425405103.14,741898665620.924,..
